sku;name;price;iva;url;image_url;categories;marca;description;LIBRO+B90+B96+B116+B189+B209+B90;urlDescarga;tipo
1354480;PC Total War Warhammer - Old World Edition;44,99;21;https://www.mediamarkt.es/es/product/_pc-total-war-warhammer-old-world-edition-1354480.html;https://picscdn.redblue.de/doi/pixelboxx-mss-78999343/fee_325_225_png;Informática > Gaming > Juegos PC;SEGA;Juego PC;1943128529;https://www.mediamarkt.es/es/product/getProducto.php?sku=1354480;VIDEOJUEGO
1352954;PC Vikings Wolves Of Midgard;35,99;21;https://www.mediamarkt.es/es/product/_pc-vikings-wolves-of-midgard-1352954.html;https://picscdn.redblue.de/doi/pixelboxx-mss-79088145/fee_325_225_png;Informática > Gaming > Juegos PC;MERIDIEN;<p>Juego PC</p>;3101082815;https://www.mediamarkt.es/es/product/getProducto.php?sku=1352954;VIDEOJUEGO
1355040;PC - LEGO Worlds;18,99;21;https://www.mediamarkt.es/es/product/_pc-lego-worlds-1355040.html;https://picscdn.redblue.de/doi/pixelboxx-mss-78999519/fee_325_225_png;Informática > Gaming > Juegos PC;WARNER BROS ENTERTAIN;PC;2897846538;https://www.mediamarkt.es/es/product/getProducto.php?sku=1355040;VIDEOJUEGO
1340802;WRC 6 - Juego PC;29,99;21;https://www.mediamarkt.es/es/product/_wrc-6-juego-pc-1340802.html;https://picscdn.redblue.de/doi/pixelboxx-mss-73723158/fee_325_225_png;Informática > Gaming > Juegos PC;BADLAND (SOFT);<p>Juego PC</p>;2209665549;https://www.mediamarkt.es/es/product/getProducto.php?sku=1340802;VIDEOJUEGO
1275126;PC Tom Clancy's Rainbow Six Siege: Art of Siege Edition + Acceso Beta*;69,9;21;https://www.mediamarkt.es/es/product/_pc-tom-clancy-s-rainbow-six-siege-art-of-siege-edition-acceso-beta-1275126.html;https://picscdn.redblue.de/doi/pixelboxx-mss-68920608/fee_325_225_png;Informática > Gaming > Juegos PC;UBISOFT;TC RAINBOW SIX SIEGE: ART OF SIEGE EDITION;2862066446;https://www.mediamarkt.es/es/product/getProducto.php?sku=1275126;VIDEOJUEGO
1277391;OBSOLETO - PC Call of Duty: Black Ops 3;54,9;21;https://www.mediamarkt.es/es/product/_obsoleto-pc-call-of-duty-black-ops-3-1277391.html;https://picscdn.redblue.de/doi/pixelboxx-mss-69267864/fee_325_225_png;Informática > Gaming > Juegos PC;ACTIVISION BLIZZARD (SOFT);COD: BLACK OPS 3;2987967484;https://www.mediamarkt.es/es/product/getProducto.php?sku=1277391;VIDEOJUEGO
1338292;PC - Football Manager 2017 (Ed. Limitada);49,9;21;https://www.mediamarkt.es/es/product/_pc-football-manager-2017-ed-limitada-1338292.html;https://picscdn.redblue.de/doi/pixelboxx-mss-80395326/fee_325_225_png;Informática > Gaming > Juegos PC;SEGA;<p>Fecha lanzamiento: 04/11/2016</p>;1798592811;https://www.mediamarkt.es/es/product/getProducto.php?sku=1338292;VIDEOJUEGO
1359297;PC DAWN OF WAR III - Edición Limitada;37,99;21;https://www.mediamarkt.es/es/product/_pc-dawn-of-war-iii-edición-limitada-1359297.html;https://picscdn.redblue.de/doi/pixelboxx-mss-79089473/fee_325_225_png;Informática > Gaming > Juegos PC;SEGA;Juego PC;1089154704;https://www.mediamarkt.es/es/product/getProducto.php?sku=1359297;VIDEOJUEGO
9315995;PC Max Payne 3;11,99;21;https://www.mediamarkt.es/es/product/_pc-max-payne-3-9315995.html;https://picscdn.redblue.de/doi/pixelboxx-mss-51174544/fee_325_225_png;Informática > Gaming > Juegos PC;TAKE 2;MAX PAYNE 3;1484847507;https://www.mediamarkt.es/es/product/getProducto.php?sku=9315995;VIDEOJUEGO
9321981;PC Assassin's Creed III;16,99;21;https://www.mediamarkt.es/es/product/_pc-assassin-s-creed-iii-9321981.html;https://picscdn.redblue.de/doi/pixelboxx-mss-66080990/fee_325_225_png;Informática > Gaming > Juegos PC;UBISOFT;ASSASSINS CREED 3;2390658209;https://www.mediamarkt.es/es/product/getProducto.php?sku=9321981;VIDEOJUEGO
